Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Gopalakrishnan C.,463700,2400,49.7%,All India Anna Dravida Munnetra Kazhagam
2,Raja A.,358760,2400,38.4%,Dravida Munetra Kazhagam
3,Gandhi P.,37702,200,4.0%,Indian National Congress
4,Rani M.T.,12525,200,1.3%,Aam Aadmi Party
5,Kala M.,3377,200,0.4%,Bahujan Samaj Party
6,Ponnusamy P.,2733,200,0.3%,Communist Party Of India (Marxist-Leninist) Red Star
7,Dr.Balan P.P.,2704,200,0.3%,Independent
8,Subramaniyam P.,1711,200,0.2%,Independent
9,Eswaran T.,1655,200,0.2%,Makkal Manadu Katchi
10,Gunasekaran K.,1650,200,0.2%,Republican Party Of India (A)
