Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Lakhan Lal Sahu,561387,1293,51.5%,Bharatiya Janta Party
2,Karuna Shukla,384951,1293,35.3%,Indian National Congress
3,Dharam Bhargav,26340,91,2.4%,Bahujan Samaj Party
4,Anand Mishra,20733,85,1.9%,Aam Aadmi Party
5,Prakash Surya,14918,85,1.4%,Independent
6,Baldau Prasad Sahu,13339,78,1.2%,Independent
7,Dinesh Kumar Singh Khusro Nikhil,12024,78,1.1%,Independent
8,Dilip Koshle,6911,78,0.6%,Independent
9,Daosingh Maravi,5385,78,0.5%,Independent
10,Eng. Ramfal Mandrey,4294,78,0.4%,Ambedkarite Party Of India
11,Ganesh Yadav,4279,78,0.4%,Gondvana Gantantra Party
12,Ram Singh Pandram (PENDRO),4034,78,0.4%,Independent
13,Dayadas Lahre,2988,78,0.3%,Independent
14,Jaitram Khande,2369,78,0.2%,Independent
15,Sarita Vijay Soni,2244,78,0.2%,Independent
16,Ajay Pali,2237,78,0.2%,Independent
17,Manik Dahariya,2059,78,0.2%,Independent
18,Salikram Jogi,1836,78,0.2%,Independent
19,Ramji Sahu,1776,78,0.2%,Chhattisgarh Swabhiman Manch
20,Dhaniram Yadav,1706,78,0.2%,Samajwadi Party
21,Rameshwar Kewat,1661,78,0.2%,Independent
22,Lakhan Lal Sahu,1458,78,0.1%,Independent
23,Dhaniram Khare,1287,78,0.1%,Republican Paksha (Khoripa)
24,Lakhanlal Sahu,910,78,0.1%,Independent
25,Lakhan Lal Sahu,910,78,0.1%,Independent
26,Lakhanlal Sahu,855,78,0.1%,Independent
