Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Radha Mohan Singh,400452,600,48.7%,Bharatiya Janta Party
2,Binod Kumar Srivastava,208289,600,25.3%,Rashtriya Janata Dal
3,Avaneesh Kumar Singh,128604,400,15.6%,Janata Dal (United)
4,Shambhu Das,11371,200,1.4%,Independent
5,Dilip Singh,10759,200,1.3%,Independent
6,Pramod Kumar Pandey,10505,200,1.3%,Independent
7,Suresh Paswan,10356,200,1.3%,Bahujan Samaj Party
8,Amit Kumar Choubey,7512,200,0.9%,Aam Aadmi Party
9,Shatrughan Tiwari,4893,200,0.6%,Bajjikanchal Vikas Party
10,Paras Nath Pandey,3027,200,0.4%,Janvadi Party(Socialist)
11,Pawan Kumar,2946,200,0.4%,Kalinga Sena
12,Anil Kumar Singh,2819,200,0.3%,Jai Maha Bharath Party
13,Moqim Ansari,2811,200,0.3%,J & K National Panthers Party
14,Md. Nasiruddin,2607,200,0.3%,Janta Dal Rashtravadi
15,Raghunath Gupta,2459,200,0.3%,Samajwadi Party
