Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Harinarayan Rajbhar,379797,1437,36.5%,Bharatiya Janta Party
2,Dara Singh Chauhan,233782,1437,22.5%,Bahujan Samaj Party
3,Mokhtar Ansari,166443,611,16.0%,Quami Ekta Dal
4,Rajeev Kumar Rai,165887,603,16.0%,Samajwadi Party
5,Rashtra Kunwar Singh,19315,140,1.9%,Indian National Congress
6,Atul Kumar Singh Anjaan,18162,140,1.7%,Communist Party Of India
7,Doodhnath Chauhan,8163,115,0.8%,Independent
8,Badri Nath Yadav,7650,115,0.7%,Rashtriya Congress(J) Party
9,Dr. Shameem Abidi,7581,115,0.7%,Peace Party
10,Manish Kumar Rai,4188,115,0.4%,Aam Aadmi Party
11,Harish Chandra,4130,115,0.4%,Rashtriya Janwadi Party (Krantikari)
12,Surya Kumar,4030,115,0.4%,Independent
13,Vijay Kumar Upadhyay,3826,115,0.4%,Rashtriya Krantikari Samajwadi Party
14,Hemant Kumar,2949,115,0.3%,Bhartiya Sarvjan Party
15,Vishun Dayal,2721,115,0.3%,Independent
16,Ravi Shankar Bharat,2543,115,0.2%,Jan Raajya Party
17,Rajkumar Chauhan,2246,115,0.2%,Janvadi Party(Socialist)
18,Harinath,1786,115,0.2%,Naitik Party
