Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),568235,527,59.4%,Bharatiya Janta Party
2,Dinsha Patel,335334,527,35.1%,Indian National Congress
3,Roshan Priyavadan Shah,7442,60,0.8%,Independent
4,Pandav Bhailalbhai Kalubhai,5791,60,0.6%,Bahujan Samaj Party
5,Badhiwala Labhubhai Jivrajbhai,3742,60,0.4%,Aam Aadmi Party
6,Ratansinh Udesinh Chauhan,3495,60,0.4%,Independent
7,Malek Sabirhusen Ismaelbhai,2720,60,0.3%,Independent
8,Chauhan Devusing Motishing,1860,60,0.2%,Independent
9,Malek Sadik Hushen Mahammd Hushen,1444,60,0.2%,Independent
10,Abdul Razakkhan Pathan,1024,60,0.1%,Apna Desh Party
11,Malek Yakubmiya Nabimiya,955,60,0.1%,Independent
12,Ranveer Pranayraj Govindbhai,944,60,0.1%,Bahujan Mukti Party
13,Khristi Adward Khushalbhai,938,60,0.1%,Independent
14,Parikh Viral Hasmukhbhai,846,60,0.1%,Independent
15,Pathan Amanullakha Sitabkha,803,60,0.1%,Independent
