Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vasanthi.M,424586,1182,41.7%,All India Anna Dravida Munnetra Kazhagam
2,Dr.Krishnasamy.K.,262812,1182,25.8%,Puthiya Tamilagam
3,Dr.Sadhan Thirumalaikumar.T.,190233,518,18.7%,Marumalarchi Dravida Munnetra Kazhagam
4,Dr.Jayakumar.K.,58963,161,5.8%,Indian National Congress
5,Lingam.P,23528,116,2.3%,Communist Party Of India
6,Krishnasamy.A.,12115,107,1.2%,Independent
7,Gunasekaran.K.,8022,97,0.8%,Tamil Nadu Makkal Congress
8,Radhakrishnan.S.,3904,97,0.4%,Independent
9,Manmathanm.,3331,97,0.3%,Independent
10,Kannan,2917,97,0.3%,Bahujan Samaj Party
11,Muneeswaran,2513,97,0.2%,Independent
12,Magesh.S.,2163,97,0.2%,Independent
13,Ganesan.S.,1809,97,0.2%,Independent
14,Janagar Raja,1777,97,0.2%,Independent
15,Poongani.J.,1454,97,0.1%,Samata Party
16,Velladurai.P.,1216,97,0.1%,Independent
17,Alagumalai.V.,1215,97,0.1%,Independent
18,Meenashisundaravadivel.T.,888,97,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
