Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bandaru Dattatreya,438271,600,43.7%,Bharatiya Janta Party
2,M.Anjan Kumar Yadav,183536,600,18.3%,Indian National Congress
3,Narla Mohan Rao,145120,400,14.5%,All India Majlis-E-Ittehadul Muslimoon
4,T.Bheemsen,143847,400,14.3%,Telangana Rashtra Samithi
5,Syed Sajid Ali,45187,200,4.5%,Yuvajana Sramika Rythu Congress Party
6,Chaya Ratan Musinipally,11184,200,1.1%,Aam Aadmi Party
7,K. Srinivasulu,3691,200,0.4%,Jai Samaikyandhra Party
8,Khaja Khalid Anwar,2863,200,0.3%,Bahujan Samaj Party
9,K.Sai Krishna Mohan Rao,2603,200,0.3%,Indian Christian Secular Party
10,B.Subramanyam,2481,200,0.2%,Independent
11,Sonu Sarsal Valmiki,2311,200,0.2%,Telangana Communist Party Of India
12,J.Ramulu,2058,200,0.2%,Revolutionary Socialist Party
13,B.Deepak Kumar,1813,200,0.2%,Republican Party Of India (KHOBRAGADE)
14,Raghu Deshaboina,1496,200,0.1%,Bahujan Mukti Party
15,Avula Ranganayakulu,1144,200,0.1%,Independent
16,Klhaja Sirajuddin Azaz,959,200,0.1%,Majlis Markaz-E-Siyasee Party
17,Dr.N.S.Uday Kumar,928,200,0.1%,Prem Janata Dal
18,S. Lakshman Rao,886,200,0.1%,Independent
19,Dr.Malathi Latha Eppa,873,200,0.1%,Jantantra Party
20,Abdus Sattar Mujahed,809,200,0.1%,Akhil Bharatiya Muslim League  (Secular)
21,Mohd Imtiaz Hussain,786,200,0.1%,Indian Union Muslim League
22,Ananth Rao Gundepally,779,200,0.1%,Independent
23,Shakthi Satyavathi,638,200,0.1%,Pyramid Party Of India
24,Ch. Murahari,554,200,0.1%,Socialist Unity Centre Of India (COMMUNIST)
25,Kumar Chowdary Yadav.G,547,200,0.1%,Samaikyandhra Parirakshana Samithi
26,Karankote Narender,474,200,0.0%,All India Forward Bloc
27,Syed Madani Quadri,376,200,0.0%,Independent
28,Mohammed Rizwan Hussain,370,200,0.0%,Independent
29,Mohd Abubakar Parwaiz Siddiqui,322,200,0.0%,Independent
30,Michael Daniel Ovelz,291,200,0.0%,Independent
