Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Nihalchand,658130,600,52.4%,Bharatiya Janta Party
2,Master Bhanwarlal Meghwal,366389,600,29.2%,Indian National Congress
3,Shimla Devi Nayak (ADVOCATE),106585,200,8.5%,National Unionist Zamindara Party
4,Dr. Balkrishan Bawari,40016,200,3.2%,Aam Aadmi Party
5,Palaram,14944,200,1.2%,Communist Party Of India (MARXIST)
6,Dulichand Meghwal,11981,200,1.0%,Independent
7,Balraj Bawari,8788,200,0.7%,Independent
8,Amar Singh,6686,200,0.5%,Bahujan Mukti Party
9,Balwant Singh Hariyala,5364,200,0.4%,Bharatiya Sant Mat Party
10,Dr. Paluskar K. T.,5232,200,0.4%,Prabuddha Republican Party
11,Advocate Kartar Singh Bains,5025,200,0.4%,All India Trinamool Congress
12,Titar Singh,3924,200,0.3%,Independent
13,Om Parkash,3750,200,0.3%,Independent
14,Sunil Bhadrawal,3729,200,0.3%,Lok Dal
15,Jasvinder Singh,3395,200,0.3%,Jai Maha Bharath Party
16,Kumbha Ram,3007,200,0.2%,Independent
17,Hetram,2943,200,0.2%,Rajasthan Vikash Party
