Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Hari G.,493534,621,45.3%,All India Anna Dravida Munnetra Kazhagam
2,Elango N.R,252768,621,23.2%,Dravida Munetra Kazhagam
3,Velu R.,233762,521,21.5%,Pattali Makkal Katchi
4,Rajesh R,56337,134,5.2%,Indian National Congress
5,Dass D.,7354,90,0.7%,Bahujan Samaj Party
6,Gajendran S.,6570,90,0.6%,Independent
7,Panchu.Udayakumar,6025,90,0.6%,Independent
8,Rajesh S.,4021,90,0.4%,Aam Aadmi Party
9,Ravi V.,2198,90,0.2%,Independent
10,Gopinathan G.,1955,90,0.2%,Independent
11,Elangovan D.,1556,90,0.1%,Independent
12,Hari S.,1458,90,0.1%,Independent
13,Viswanathan P.,1434,90,0.1%,Independent
14,Vadivel A.,1023,90,0.1%,Independent
15,Velu D.,920,90,0.1%,Independent
16,Elango N.,918,90,0.1%,Independent
17,Elangovan A.,804,90,0.1%,Independent
18,Velu V.,783,90,0.1%,Independent
19,Velu R.,747,90,0.1%,Independent
20,Sridhar R.S,723,90,0.1%,Independent
21,Arun N.,610,90,0.1%,Independent
22,Hari S.,599,90,0.1%,Independent
23,Shettu S.,570,90,0.1%,Independent
24,Harikrishnan P.,541,90,0.0%,Independent
25,Elango D.,517,90,0.0%,Independent
26,Sadhu Muthu Kristnan Erajandran T.M.S.,484,90,0.0%,Independent
27,Ravi N.D.,471,90,0.0%,Independent
