Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sushil Kumar Singh,307941,4400,39.2%,Bharatiya Janta Party
2,Nikhil Kumar,241594,4400,30.7%,Indian National Congress
3,Bagi Kumar Verma,136137,600,17.3%,Janata Dal (United)
4,Santosh Kumar,27833,200,3.5%,Bahujan Samaj Party
5,Upendra Nath,9255,200,1.2%,Bahujan Mukti Party
6,Somaru Paswan,8678,200,1.1%,Independent
7,Ramji Singh,7195,200,0.9%,Independent
8,Ragini Lata Singh,6703,200,0.9%,Aam Aadmi Party
9,Bijeet Kumar,6121,200,0.8%,Independent
10,Rakesh Sharma,5726,200,0.7%,Independent
11,Usha Sharan,4608,200,0.6%,Shoshit Samaj Dal
12,Durga Thakur,3696,200,0.5%,Independent
13,Rita Devi,3333,200,0.4%,Samajwadi Party
