Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Shashi Tharoor,297806,97494,34.1%,Indian National Congress
2,Sri. O Rajagopal,282336,97494,32.3%,Bharatiya Janta Party
3,Sri. Doctor Bennet Abraham,248941,9905,28.5%,Communist Party Of India
4,Sri. Ajit Joy,14153,152,1.6%,Aam Aadmi Party
5,Sri.Kunnil Shajahan,4818,126,0.6%,Social Democratic Party Of India
6,Sri.Benet Babu Benjamin,4231,126,0.5%,Independent
7,Sri. J Sudhakaran,3260,126,0.4%,Bahujan Samaj Party
8,Sri. O M Jyotheendra Nath,2445,126,0.3%,Independent
9,Sri. Jain Wilson,2105,126,0.2%,Independent
10,Smt. Syamalakumari,1851,126,0.2%,Independent
11,Sri. Kunnukuzhi S Mani,1717,126,0.2%,Independent
12,Sri.Shajar Khan,1691,126,0.2%,Socialist Unity Centre Of India (COMMUNIST)
13,Fr.Stephen,1271,126,0.1%,Independent
14,Sri. Adv. Perurkada Harikumar,902,126,0.1%,Shiv Sena
15,Sri.George Mankidiyil,843,126,0.1%,Independent
16,Sri. V S Jayakumar,445,126,0.1%,Independent
17,Sri.Anil Kumar Y,371,126,0.0%,Independent
18,Sri. O V Sreedath,356,126,0.0%,Socialist Republican Party
19,Smt. R Chandrika Kattakada,292,126,0.0%,Republican Party Of India
20,Sri. Thomas Joseph,261,126,0.0%,Republican Party Of India (A)
