Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Chandra Prakash Joshi,703236,428,60.0%,Bharatiya Janta Party
2,Girija Vyas,386379,428,32.9%,Indian National Congress
3,Radha Devi,21593,66,1.8%,Communist Party Of India
4,Yashwant Puri,12675,60,1.1%,Independent
5,Dr. Narendra Kumar Gupta,5939,60,0.5%,Aam Aadmi Party
6,Mohammad Imtiyaz,4971,60,0.4%,Independent
7,Sanjay Kumar,4467,60,0.4%,Bahujan Samaj Party
8,Bhanwar Lal,3263,60,0.3%,Independent
9,Babu Meghwal,3069,60,0.3%,Independent
10,Gulab Chand Sahlot,1692,60,0.1%,Independent
11,Shanti Lal Trivedi,1564,60,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
12,Mangi Lal Solanki,1291,60,0.1%,Bahujan Mukti Party
13,Vijaya Ray,1240,60,0.1%,Rajasthan Vikash Party
14,Prabhu Lal Gujjar,1216,60,0.1%,Jai Maha Bharath Party
