Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Pashupati Nath Singh,543491,465,47.5%,Bharatiya Janta Party
2,Ajay Kumar Dubey,250537,465,21.9%,Indian National Congress
3,Anand Mahato,110185,174,9.6%,Marxist Co-Ordination
4,Samaresh Singh,90926,157,7.9%,Jharkhand Vikas Morcha (Prajatantrik)
5,Chandra Shekhar Dubey,29937,103,2.6%,All India Trinamool Congress
6,Hemlata S. Mohan,21277,95,1.9%,Ajsu Party
7,Dr. Krishna Chandra Singhraj,13200,95,1.2%,Independent
8,Rama Kant Verma,8948,86,0.8%,Aam Aadmi Party
9,Hiralal Sankhwar,8580,86,0.8%,Jharkhand Party
10,Madan Mohan Ram,8455,86,0.7%,Bahujan Samaj Party
11,Ganpat Mahto,5441,86,0.5%,Independent
12,Kishor Kumar Murmu,4531,86,0.4%,Bahujan Mukti Party
13,Aklu Ram Mahto,4169,86,0.4%,Samajwadi Party
14,Ritu Rani Singh,3814,86,0.3%,Independent
15,Mantosh Kumar Mandal,3413,86,0.3%,Amra Bangalee
16,Ahmad Hussain Ansari,3120,86,0.3%,Jharkhand Disom Party
17,Md. Zubair,3094,86,0.3%,All India Minorities Front
18,Gautam Kumar Mahato,3000,86,0.3%,Independent
19,Jayant Pandey,2518,86,0.2%,All India Forward Bloc
20,Suman Banerjee,2104,86,0.2%,Independent
21,Ramesh Bharati,2052,86,0.2%,Independent
22,Manilal Mahto,1888,86,0.2%,Independent
23,Vijay Kant Mishra,1537,86,0.1%,Independent
24,Ranbir Singh,1516,86,0.1%,Independent
25,Munshi Hembram,1486,86,0.1%,Independent
26,Binod Singh,1457,86,0.1%,Independent
27,Parshuram Paswan,1359,86,0.1%,Independent
28,Prem Prakash Paswan,1226,86,0.1%,Independent
29,Tarch Murmu,1190,86,0.1%,Independent
30,Ramesh Kumar Ray,965,86,0.1%,Independent
31,Pawan Mahato,811,86,0.1%,Independent
