Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Feroze Varun Gandhi,410348,1000,42.5%,Bharatiya Janta Party
2,Pawan Pandey,231446,1000,24.0%,Bahujan Samaj Party
3,Shakeel Ahmed,228144,1000,23.6%,Samajwadi Party
4,Ameeta Singh,41983,200,4.4%,Indian National Congress
5,Varun Gandhi,14021,200,1.5%,Independent
6,Shailendra Pratap Singh,5835,200,0.6%,Aam Aadmi Party
7,Brijesh Kumar,5752,200,0.6%,Independent
8,Vijay,4630,200,0.5%,Independent
9,Girish Lal,3804,200,0.4%,Suheldev Bhartiya Samaj Party
10,Dr. Nafees Ahmad,3381,200,0.4%,Rastriya Insaaf Party
11,Pitambar Nishad,2737,200,0.3%,Pragatisheel Manav Samaj Party
12,Sartaj Khan,2363,200,0.2%,Apna Desh Party
13,Ram Milan,1887,200,0.2%,Bahujan Mukti Party
14,Mohd Shamim,1637,200,0.2%,Quami Ekta Dal
15,Shiv Shankar,1601,200,0.2%,Most Backward Classes Of India
