Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kirti Vardhan Singh,359643,1000,41.2%,Bharatiya Janta Party
2,Nandita Shukla,199227,1000,22.8%,Samajwadi Party
3,Akbar Ahmad Dumpy,116178,400,13.3%,Bahujan Samaj Party
4,Beni Prasad Verma,102254,400,11.7%,Indian National Congress
5,Masood Alam Khan,42744,200,4.9%,Peace Party
6,Om Prakash,18450,200,2.1%,Communist Party Of India
7,Tilak Ram,5374,200,0.6%,Independent
8,Satya Prakash,4748,200,0.5%,Shiv Sena
9,Mashooq Ahmad,3358,200,0.4%,Aam Aadmi Party
10,Ajay Kumar Prabhakar,3200,200,0.4%,Bahujan Mukti Party
11,Mahesh Kumar,2555,200,0.3%,Janvadi Party(Socialist)
12,Brijnandan Tiwari,2395,200,0.3%,Independent
13,Rajesh Kumar Maurya,2199,200,0.3%,Socialist Party (India)
14,Prem Kumar,1900,200,0.2%,Most Backward Classes Of India
15,Rajendra Prasad,1519,200,0.2%,Samyak Parivartan Party
