Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sher Singh Ghubaya,487932,43101,44.1%,Shiromani Akali Dal
2,Sunil Jakhar,456512,43101,41.3%,Indian National Congress
3,Satnam Paul Kamboj,113412,207,10.3%,Aam Aadmi Party
4,Ram Kumar Parjapat,22274,108,2.0%,Bahujan Samaj Party
5,Dhian Singh Mand,3655,90,0.3%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
6,Raj Gill,3311,90,0.3%,Independent
7,Manoj Kumar Monga,1896,90,0.2%,Independent
8,Panjab Singh Katwal,1759,90,0.2%,Independent
9,Rajinder Bhatheja,1546,90,0.1%,Independent
10,Chanan Singh Wattu,1237,90,0.1%,Independent
11,Gurjant Singh,1088,90,0.1%,Independent
12,Paramjeet Singh Desal,976,90,0.1%,Independent
13,Swaran Singh,766,90,0.1%,Independent
14,Sampuran Singh,682,90,0.1%,Independent
15,Baljinder Singh,681,90,0.1%,Bharatiya Gaon Taj Dal
