Position,Candidate Name,Votes,MinSample,Votes %,Party
1,B.N.Chandrappa,467511,3800,42.6%,Indian National Congress
2,Janardhana Swamy,366220,3800,33.4%,Bharatiya Janta Party
3,Gullihatty.D.Shekhar,202108,600,18.4%,Janata Dal (Secular)
4,Mohana Dasari,14226,200,1.3%,Aam Aadmi Party
5,T.D.Rajagiri,9441,200,0.9%,Bahujan Samaj Party
6,T.Somesh Shilpi,4511,200,0.4%,Independent
7,M.Kumbaiah,3970,200,0.4%,Janata Dal (United)
8,T.Bhavana,3601,200,0.3%,Independent
9,S. Meetya Naik,3558,200,0.3%,Samajwadi Party
10,H.Siddagangappa,2951,200,0.3%,Ambedkar National Congress
11,Ganesha,2816,200,0.3%,Independent
12,N.S.Manjunatha Nerenahal,2702,200,0.2%,Independent
13,Basavanagideva Sharanaru,2171,200,0.2%,Independent
14,T.Dayananda,1818,200,0.2%,Independent
