x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kumar Sarvjeet,841,"82,656",50.0%,Rashtriya Janata Dal,
2,2,Shyamdeo Paswan,841,"52,183",31.6%,Bharatiya Janta Party,
3,3,Devendra Manjhi,85,"4,265",2.6%,Independent,
4,4,Janki Paswan,85,"4,057",2.5%,Communist Party Of India,
5,5,Naresh Kumar Bharti,80,"2,872",1.7%,Independent,
6,6,Sikandar Choudhary,78,"2,439",1.5%,Bharat Bhrashtachar Mitao Party,
7,7,Sharawan Manjhi,70,"1,750",1.1%,Bahujan Samaj Party,
8,8,Amod Kumar Paswan,70,"1,742",1.1%,Shiv Sena,
9,9,Deen Dayal Bharati Or Kapil Choudhry,70,"1,561",0.9%,Nationalist Congress Party,
10,10,Satyendra Kumar,70,"1,547",0.9%,Garib Janta Dal (Secular),
11,11,Rambali Manjhi,70,"1,052",0.6%,Pragatisheel Magahi Samaj,
12,12,Sanjay Paswan,70,905,0.6%,International Party,
13,13,Mina Devi,70,891,0.5%,Rashtriya Mazdoor Ekta Party,
14,14,Rajkumar Paswan,70,873,0.5%,Akhil Bharat Hindu Mahasabha,
15,15,Prabhu Paswan,70,820,0.5%,Republican Party Of India (A),
