x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr. Rama Nand Yadav,730,"77,210",50.5%,Rashtriya Janata Dal,
2,2,Satyendra Kumar Singh,730,"46,808",30.6%,Lok Jan Shakti Party,
3,3,Satish Kumar,91,"5,854",3.8%,Samajwadi Party,
4,4,Shalendra Kumar,86,"4,263",2.8%,Communist Party Of India (Marxist-Leninist) (Liberation),
5,5,Ranjan Kumar Singh,86,"4,101",2.7%,Bahujan Samaj Party,
6,6,Devendra Prasad Singh,78,"3,370",2.2%,Independent,
7,7,Sri Kant Prasad,78,"2,153",1.4%,Independent,
8,8,Gajendra Kumar,70,"1,131",0.7%,Sankhyanupati Bhagidari Party,
9,9,Kumar Rajiv,70,"1,117",0.7%,Independent,
10,10,Sanjeev Sharad,70,"1,076",0.7%,Rastriya Sadabahar Party,
11,11,Nagendra Singh,70,"1,000",0.7%,Garib Janta Dal (Secular),
12,12,Brahmananda Prasad,70,753,0.5%,Sarvajan Kalyan Loktantrik Party,
13,13,Munna Kumar,70,536,0.4%,Lok Awaz Dal,
