x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shivchandra Ram,2415,"61,251",45.5%,Rashtriya Janata Dal,
2,2,Ram Nath Raman,2415,"46,096",34.2%,Lok Jan Shakti Party,
3,3,Pankaj Kumar,107,"4,508",3.3%,Independent,
4,4,Gaurishankar Paswan,107,"4,406",3.3%,Independent,
5,5,Ram Shankar Ram Alias  Ram Shankar Bharati,92,"2,697",2.0%,Communist Party Of India (MARXIST),
6,6,Dasai Chaudhari,92,"2,394",1.8%,Independent,
7,7,Rajendra Ram,92,"2,312",1.7%,Independent,
8,8,Ramesh Das,92,"1,651",1.2%,Bahujan Samaj Party,
9,9,Amod Kumar Paswan,83,"1,288",1.0%,Samajwadi Party,
10,10,Gajendra Rajak,83,"1,278",1.0%,Independent,
11,11,Upendra Paswan,83,"1,133",0.8%,Aap Aur Hum Party,
12,12,Dr. Akal Ram,83,"1,113",0.8%,Independent,
13,13,Virendra Ram,83,737,0.6%,Independent,
14,14,Shatrughan Mahato,83,555,0.4%,Sarvajan Kalyan Loktantrik Party,
15,15,Manju Devi Alias Manju Das,83,555,0.4%,Hind Congress Party,
16,16,Ram Sewak Paswan,83,470,0.4%,Krantikari Samyavadi Party,
17,17,Chandshekhar Ram,83,410,0.3%,Rashtriya Garib Dal,
