x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Punam Kumari Alias Punam Paswan,28200,"78,409",45.5%,Indian National Congress,
2,2,Mahesh Paswan,28200,"72,983",42.4%,Bharatiya Janta Party,
3,3,Jay Prakash Rishi,200,"3,719",2.2%,Communist Party Of India (MARXIST),
4,4,Lalit Kumar,200,"3,199",1.9%,Independent,
5,5,Sunita Devi,200,"2,097",1.2%,Nationalist Congress Party,
6,6,Ravindra Kumar,200,"1,621",0.9%,Bahujan Samaj Party,
7,7,Rasho Rishi,200,"1,428",0.8%,Independent,
8,8,Vakil Das,200,"1,373",0.8%,Jan Adhikar Party (Loktantrik),
9,9,Anil Kr Paswan,200,945,0.6%,Independent,
10,10,Ram Raj Ram,200,873,0.5%,Independent,
11,11,Laxmikant Rishi,200,684,0.4%,Kisan Shakti Jantantrik Party,
12,12,Manoj Kumar,200,541,0.3%,Janta Dal Rashtravadi,
13,13,Manju Devi,200,527,0.3%,Ittehad-E-Millait Council,
