x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Virendra Kumar Singh,16600,"42,035",31.1%,Janata Dal (United),
2,2,Gopal Narayan Singh,16600,"36,774",27.2%,Bharatiya Janta Party,
3,3,Vijay Kumar Singh,1200,"22,053",16.3%,Independent,
4,4,Manju Devi,800,"17,106",12.6%,Bahujan Samaj Party,
5,5,Hari Shankar Tiwari,200,"3,205",2.4%,Independent,
6,6,Ram Ashis Ram,200,"2,659",2.0%,Communist Party Of India,
7,7,Dhanjay Kumar Singh,200,"1,628",1.2%,Rashtra Sewa Dal,
8,8,Surendra Pasawan,200,"1,535",1.1%,Independent,
9,9,Lalmohan Choudhary,200,"1,385",1.0%,Independent,
10,10,Vijeet Kumar,200,"1,187",0.9%,Independent,
11,11,Yugal Kishor Singh,200,842,0.6%,Pragatisheel Magahi Samaj,
12,12,Shyam Chandra Yadav,200,786,0.6%,Bahujan Mukti Party,
13,13,Ram Lal Chaudhari,200,695,0.5%,Independent,
14,14,Ranjan Kumar Tiwari,200,575,0.4%,Independent,
15,15,Rohan Singh,200,571,0.4%,Samajwadi Party,
16,16,Shweta Devi,200,569,0.4%,Akhil Hind Forward Block,
