x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ramvichar Rai,7089,"70,583",43.7%,Rashtriya Janata Dal,
2,2,Raju Kumar Singh,7089,"59,923",37.1%,Bharatiya Janta Party,
3,3,Azimullah Ansari,125,"6,716",4.2%,Independent,
4,4,Madan Chaudhary,125,"6,674",4.1%,Independent,
5,5,Dilip Kumar,105,"3,759",2.3%,Independent,
6,6,Basawan Prasad Bhagat,96,"2,261",1.4%,Samajwadi Party,
7,7,Akhileshwar Prasad Singh,96,"2,034",1.3%,Communist Party Of India (MARXIST),
8,8,Ajay Singh,96,"1,975",1.2%,Independent,
9,9,Krishna Kumar Jaiswal,87,"1,486",0.9%,Rashtriya Mahan Gantantra Party,
10,10,Mohammad Nasim,87,"1,092",0.7%,Bahujan Samaj Party,
11,11,Devesh Chandra,87,866,0.5%,Samajwadi Janata Dal Democratic,
12,12,Vinay Kumar,87,832,0.5%,Shiv Sena,
13,13,Nawal Kishore Singh,87,590,0.4%,Garib Janta Dal (Secular),
14,14,Jai Chand Sahani,87,549,0.3%,Sarvajan Kalyan Loktantrik Party,
15,15,Pramod Kumar,87,510,0.3%,Bhartiya Janhit Dal,
