x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ashok Kumar,400,"92,687",54.7%,Janata Dal (United),
2,2,Chandrashekhar Rai,400,"34,114",20.1%,Lok Jan Shakti Party,
3,3,B. K. Singh,200,"9,109",5.4%,Independent,
4,4,Vijay Kumar Rai,200,"7,844",4.6%,Independent,
5,5,Premnath Mishra,200,"2,479",1.5%,Communist Party Of India,
6,6,Chandra Bhushan Kumar,200,"2,300",1.4%,Shiv Sena,
7,7,Arun Kumar,200,"1,914",1.1%,Bahujan Mukti Party,
8,8,Md. Ishakh,200,"1,599",0.9%,Bahujan Samaj Party,
9,9,Shiv Shankar Mahto,200,"1,546",0.9%,Jharkhand Mukti Morcha,
10,10,Ashok Prasad Verma,200,"1,539",0.9%,Jan Adhikar Party (Loktantrik),
11,11,Digamber Kumar Ray,200,"1,334",0.8%,Garib Janta Dal (Secular),
12,12,Manoj Kumar Singh,200,975,0.6%,Rashtriya Pragati Party,
13,13,Ranvir Singh,200,964,0.6%,Sarvajan Kalyan Loktantrik Party,
14,14,Arman Ahmad,200,882,0.5%,Rashtriya Jankranti Party,
15,15,Basudeo Sah,200,757,0.5%,Bharat Nirman Party,
