x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Beby Kumari,1400,"67,720",40.7%,Independent,
2,2,Ramai Ram,1400,"43,590",26.2%,Janata Dal (United),
3,3,Lal Babu Paswan,200,"11,877",7.1%,Shiv Sena,
4,4,Anil Kumar,200,"7,383",4.4%,Lok Jan Shakti Party,
5,5,Musafir Paswan,200,"5,130",3.1%,Samajwadi Party,
6,6,Sanju Devi,200,"5,017",3.0%,Independent,
7,7,Ramnandan Paswan,200,"4,080",2.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Sunita Kumar,200,"3,609",2.2%,Independent,
9,9,Jaynath,200,"2,847",1.7%,Bahujan Mukti Party,
10,10,Uday Chaudhary,200,"2,531",1.5%,Independent,
11,11,Vivek,200,"2,447",1.5%,Kalinga Sena,
12,12,Rajendra Kumar,200,"2,144",1.3%,Akhil Bharatiya Hind Kranti Party,
13,13,Deeplal Ram,200,"1,837",1.1%,Sarvajan Kalyan Loktantrik Party,
14,14,Kumar Ravi Anand,200,"1,069",0.6%,Bahujan Samaj Party,
15,15,Pramod Kumar Pankaj,200,952,0.6%,Rashtriya Samanta Dal,
