x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sanjay Saraogi,14820,"77,776",47.7%,Bharatiya Janta Party,
2,2,Om Prakash Kheria,14820,"70,316",43.1%,Rashtriya Janata Dal,
3,3,Jagadish Sah,86,"3,609",2.2%,Independent,
4,4,Nilam Devi Urf Nilam Dutta,86,"3,106",1.9%,Independent,
5,5,Avinash Kumar Thakur,86,"2,223",1.4%,Communist Party Of India (MARXIST),
6,6,Durganand Mahavir Nayak,78,"1,000",0.6%,Bahujan Samaj Party,
7,7,Nikhil Kumar Jha,78,901,0.6%,Independent,
8,8,Md. Irshad Hussain,78,734,0.5%,National Janta Party (Indian),
9,9,Ameena Khatoon,78,517,0.3%,Nationalist Congress Party,
10,10,Kumar Krishna Kanhaiya,78,458,0.3%,Independent,
11,11,Bharat Yadav,78,457,0.3%,Independent,
12,12,Md.Vasim Ahmad,78,277,0.2%,Samajwadi Party,
13,13,Vijay Shree Prasad,78,244,0.2%,Republican Party Of India (A),
14,14,Mahendra Lal Das,78,180,0.1%,Bhartiya Janhit Dal,
15,15,Kumar Anand Mohan,78,173,0.1%,Lok Awaz Dal,
