x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jitendra Kumar,4647,"58,908",44.3%,Janata Dal (United),
2,2,Chhote Lal Yadav,4647,"48,464",36.4%,Lok Jan Shakti Party,
3,3,Yugeshwar Manjhi,104,"4,259",3.2%,Independent,
4,4,Sanjay Paswan,98,"3,494",2.6%,Independent,
5,5,Kumar Jayakant,89,"2,280",1.7%,Nationalist Congress Party,
6,6,Pramod Narayan Sinha,89,"2,104",1.6%,Jan Adhikar Party (Loktantrik),
7,7,Satyendra Krishnam,89,"2,005",1.5%,Communist Party Of India,
8,8,Deoki Paswan,89,"1,956",1.5%,Independent,
9,9,Rajkumar,89,"1,854",1.4%,Bahujan Samaj Party,
10,10,Md.Kashif Yunus,81,968,0.7%,Rastriya Insaaf Party,
11,11,Murari Kumar,81,785,0.6%,Dalit Samaj Party,
12,12,Kiran Devi,81,532,0.4%,Samajwadi Party,
