x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bhola Yadav,2600,"71,547",46.0%,Rashtriya Janata Dal,
2,2,Hari Sahani,2600,"54,558",35.0%,Bharatiya Janta Party,
3,3,Shyam Bharti,200,"5,595",3.6%,Communist Party Of India (MARXIST),
4,4,Rajiv  Kumar Choudhary,200,"3,529",2.3%,Communist Party Of India,
5,5,Baidyanath Yadav,200,"3,519",2.3%,Communist Party Of India (Marxist-Leninist) (Liberation),
6,6,Arun Kumar Mishra,200,"2,950",1.9%,Independent,
7,7,Ashok Kumar Mandal,200,"1,953",1.3%,Independent,
8,8,Baidyanath Choudhary,200,"1,384",0.9%,Shiv Sena,
9,9,Mahendra Kumar Paswan,200,"1,375",0.9%,Independent,
10,10,Amar Kumar Paswan,200,"1,010",0.7%,Independent,
11,11,Ajit Kumar,200,"1,010",0.7%,Jan Adhikar Party (Loktantrik),
12,12,Harendra Sahani,200,836,0.5%,Bahujan Samaj Party,
13,13,Laxman Paswan,200,561,0.4%,Sarvajan Kalyan Loktantrik Party,
14,14,Ambika Kumari,200,511,0.3%,National Janta Party (Indian),
15,15,Umapati Kuvar,200,466,0.3%,Hind Congress Party,
