x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bhai Virendra,2000,"89,773",50.1%,Rashtriya Janata Dal,
2,2,Shrikant Nirala,2000,"66,945",37.3%,Bharatiya Janta Party,
3,3,Gopal Singh,200,"4,332",2.4%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Chaudhary Brahm Prakash Singh,200,"2,418",1.4%,Independent,
5,5,Amarnath Prasad,200,"2,114",1.2%,Samajwadi Party,
6,6,Rajpati Devi,200,"1,809",1.0%,Bahujan Samaj Party,
7,7,Lalan Kumar,200,"1,619",0.9%,Jan Adhikar Party (Loktantrik),
8,8,Anju Devi,200,"1,606",0.9%,Independent,
9,9,Pawan Kumar,200,"1,580",0.9%,Independent,
10,10,Surendra Paswan,200,558,0.3%,Jawan Kisan Morcha,
11,11,Durgesh Nandan Yadav,200,540,0.3%,Rashtriya Janvikas Party (Democratic),
12,12,Chandradev Vishwakarma,200,494,0.3%,Republican Party Of India,
13,13,Kamlesh Kumar,200,443,0.3%,Lok Awaz Dal,
