x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sunita Singh Chauhan,11437,"33,785",27.6%,Janata Dal (United),
2,2,Md. Nasir Ahamad,11437,"28,210",23.0%,Lok Jan Shakti Party,
3,3,Baidyanath Prasad,548,"11,366",9.3%,Independent,
4,4,Angesh Kumar,505,"10,614",8.7%,Independent,
5,5,Akhilesh Kumar Singh,337,"6,976",5.7%,Independent,
6,6,Sanjay Kumar,283,"5,480",4.5%,Independent,
7,7,Shatrughan Sahani,272,"5,063",4.1%,Communist Party Of India,
8,8,Ram Sakal Sahani,226,"3,343",2.7%,Sarvajan Kalyan Loktantrik Party,
9,9,Bindeshwar Ram,208,"2,571",2.1%,Bahujan Samaj Party,
10,10,Sanjay Singh,208,"2,481",2.0%,Independent,
11,11,Khushanandan Ray,194,"2,120",1.7%,Samajwadi Party,
12,12,Ashok Kumar,194,"2,005",1.6%,Independent,
13,13,Chandeshwar Das Chanakya,169,"1,425",1.2%,Bharatiya Yuva Party (Democratic),
14,14,Usha Devi,169,"1,391",1.1%,Garib Janta Dal (Secular),
15,15,Ramgyan Kumar,169,"1,176",1.0%,Bharat Nirman Party,
16,16,Md Noor Alam,169,"1,140",0.9%,Vanchitsamaj Insaaf Party,
17,17,Dilip Kumar Mishra,169,944,0.8%,National Janta Party (Indian),
18,18,Sunita Singh,151,729,0.6%,Independent,
