x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Abdus Subhan,413,"67,022",41.6%,Rashtriya Janata Dal,
2,2,Binod Kumar,413,"28,282",17.5%,Independent,
3,3,Syed Ruknuddin Ahmad,280,"21,404",13.3%,Jan Adhikar Party (Loktantrik),
4,4,Ghulam Sarwar,220,"16,723",10.4%,All India Majlis-E-Ittehadul Muslimoon,
5,5,Azizur Rahman,152,"9,573",5.9%,Rashtriya Lok Samta Party,
6,6,Khursheed Alam,108,"3,361",2.1%,Independent,
7,7,Mukesh Kumar Yadav,98,"2,875",1.8%,Samajwadi Party,
8,8,Rizwan Ahamad Noori,98,"2,559",1.6%,Ittehad-E-Millait Council,
9,9,Harun Rasid,89,"1,474",0.9%,Bahujan Samaj Party,
10,10,Abdul Matlib Hamaraj,89,"1,132",0.7%,Nationalist Congress Party,
11,11,Parabhat Ranjan Kumar Jyoti,89,955,0.6%,Garib Janta Dal (Secular),
12,12,Braj Kishor Thakur,89,800,0.5%,All India Forward Bloc,
