x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Avidur Rahman,566,"92,667",52.8%,Indian National Congress,
2,2,Ajay Kumar Jha,566,"52,623",30.0%,Lok Jan Shakti Party,
3,3,Dr(CAPT.) S. R. JHA,80,"5,898",3.4%,Communist Party Of India,
4,4,Haider Yasin,80,"4,862",2.8%,Jan Adhikar Party (Loktantrik),
5,5,Shad Ahmad,75,"3,377",1.9%,Samajwadi Party,
6,6,Vijay Kumar Mishra,75,"3,113",1.8%,Independent,
7,7,Md. Sarvar Alam,75,"2,714",1.6%,Independent,
8,8,Vinod Kumar,67,"2,344",1.3%,Independent,
9,9,Mir Mansoor Alam,67,918,0.5%,Independent,
10,10,Nasim,67,691,0.4%,Bahujan Mukti Party,
11,11,Bhumanand Rishi,67,655,0.4%,Rashtriya Jankranti Party,
12,12,Pankaj Kumar Gupta,67,541,0.3%,National Janta Party (Indian),
13,13,Pramod Bachchan,67,439,0.3%,Janta Dal Rashtravadi,
14,14,Md. Izhar Alam,67,425,0.2%,Independent,
15,15,Mahmood Reza,67,417,0.2%,Socialist Janta Party,
