x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ejya Yadav,800,"47,137",37.8%,Rashtriya Janata Dal,
2,2,Rajesh Kumar Singh,800,"23,706",19.0%,Independent,
3,3,Satyendra Narayan Singh,600,"18,496",14.9%,Bharatiya Janta Party,
4,4,Manoj Prasad Sunil,400,"10,018",8.0%,Communist Party Of India (MARXIST),
5,5,Ajay Kumar Bulganin,400,"8,081",6.5%,Jan Adhikar Party (Loktantrik),
6,6,Jawahar Lal Ray,200,"3,297",2.7%,Independent,
7,7,Jayshiv Rana Manish Alias Rana Rajeev Singh,200,"2,145",1.7%,Independent,
8,8,Ram Vivek Paswan,200,"2,104",1.7%,Independent,
9,9,Anita Kumari,200,"1,231",1.0%,Independent,
10,10,Randhir Bhai,200,"1,139",0.9%,Independent,
11,11,Sunil Kumar Ray,200,821,0.7%,Independent,
12,12,Kamla Devi Alias Kamla Kumari,200,810,0.7%,Loktantrik Sarvjan Samaj Party,
13,13,Sagar Das Pan Tanti,200,796,0.6%,Bahujan Samaj Party,
14,14,Ram Niwas Ray,200,789,0.6%,National Janta Party (Indian),
15,15,Sanjay Kumar Nirala,200,679,0.5%,Bahujan Mukti Party,
16,16,Yashwant Bharati,200,660,0.5%,Jawan Kisan Morcha,
17,17,Bhushan Prasad Ray,200,565,0.5%,Janta Dal Rashtravadi,
18,18,Ram Naresh Roy,200,322,0.3%,Garib Janta Dal (Secular),
