x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bashisht Singh,5073,"57,018",32.1%,Janata Dal (United),
2,2,Birendra  Kumar Singh,5073,"44,111",24.8%,Rashtriya Lok Samta Party,
3,3,Alok Kumar Singh,820,"27,454",15.5%,Independent,
4,4,Md.  Shamim Shah,622,"23,677",13.3%,Bahujan Samaj Party,
5,5,Ram Dhani Singh,192,"6,121",3.4%,Samajwadi Party,
6,6,Shashikant Tiwari,155,"2,996",1.7%,Shiv Sena,
7,7,Neeraj Shukla,155,"2,765",1.6%,Independent,
8,8,Shiv Shankar Singh,143,"2,422",1.4%,Independent,
9,9,Pankaj Kumar Singh,143,"1,740",1.0%,Independent,
10,10,Mahendra Prasad Gupta,143,"1,587",0.9%,Communist Party Of India,
11,11,Deenanath Prasad,143,"1,387",0.8%,Independent,
12,12,Ruby  Devi,127,"1,254",0.7%,Rashtra Sewa Dal,
13,13,Janaki Bhagat,127,"1,194",0.7%,Independent,
14,14,Ram Avtar Gupta,127,686,0.4%,Janvadi Party(Socialist),
15,15,Akhilesh Rai,127,602,0.3%,Manavadhikar Janshakti Party,
16,16,Md. Dilbas Ansari,127,565,0.3%,Independent,
17,17,Rama Prsad Singh,127,453,0.3%,Bahujan Mukti Party,
18,18,Dev Brat Arya,127,227,0.1%,Apna Dal,
