x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Umesh Singh Kushwaha,1000,"69,825",47.1%,Janata Dal (United),
2,2,Dr. Achuta Nand,1000,"43,370",29.3%,Bharatiya Janta Party,
3,3,Amod Kumar Ray,200,"5,425",3.7%,Jan Adhikar Party (Loktantrik),
4,4,Rabindra Kumar Singh,200,"2,881",1.9%,Independent,
5,5,Braj Nandan Kumar Singh,200,"2,777",1.9%,Bahujan Samaj Party,
6,6,Ram Sagar Hajra,200,"2,733",1.8%,Rastriya Sadabahar Party,
7,7,Sanjit Thakur,200,"2,601",1.8%,Lok Dal,
8,8,Arjun Das,200,"2,307",1.6%,Independent,
9,9,Annpurna Singh,200,"1,993",1.3%,Independent,
10,10,Kundan Kumar,200,"1,598",1.1%,Sarvajan Kalyan Loktantrik Party,
11,11,Mahesh Paswan,200,"1,546",1.0%,Independent,
12,12,Malayam Kumar Mangalam,200,"1,271",0.9%,Rashtravadi Janata Party,
13,13,Ranjeet Pandit,200,"1,134",0.8%,Communist Party Of India,
14,14,Mithilesh Kumar Singh 'sathi',200,"1,086",0.7%,Sathi Aur Aapka Faisala Party,
15,15,Ramnath Sahni,200,"1,054",0.7%,Independent,
16,16,Harischandra Paswan,200,841,0.6%,Independent,
17,17,Arvind Kumar,200,800,0.5%,Rashtriya Jankranti Party,
18,18,Sarwesh Kumar,200,741,0.5%,Independent,
19,19,Brajesh Kumar Ray,200,561,0.4%,Jammu & Kashmir National Panthers Party,
20,20,Sujeet Kumar,200,517,0.4%,Independent,
21,21,Prabhat Kumar,200,488,0.3%,Bahujan Mukti Party,
22,22,Umashankar Pashwan,200,372,0.3%,Vanchitsamaj Insaaf Party,
23,23,Ameeya Kumar Singh,200,356,0.2%,National Janta Party (Indian),
24,24,Usha Devi,200,348,0.2%,Bhartiya Jagran Party,
