x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr. Ashok Kumar,624,"85,506",52.6%,Indian National Congress,
2,2,Manju Hazari,624,"51,145",31.5%,Bharatiya Janta Party,
3,3,Indal Paswan,94,"9,543",5.9%,Communist Party Of India,
4,4,Surendra Das,72,"2,355",1.5%,Rashtravadi Janata Party,
5,5,Arun Ram,65,"2,315",1.4%,Independent,
6,6,Ram Bahadur Azad,65,"1,783",1.1%,Independent,
7,7,Baleshwar Paswan,65,"1,610",1.0%,Bahujan Samaj Party,
8,8,Shatrudhan Kumar Paswan,65,975,0.6%,Samajwadi Party,
9,9,Vijay Laxmy Devi,65,769,0.5%,National Janta Party (Indian),
10,10,Baidyanath Kumar,65,736,0.5%,Garib Janta Dal (Secular),
