x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Md. Afaque Alam,122347,"81,633",44.7%,Indian National Congress,
2,2,Pradip Kumar Das,122347,"79,839",43.8%,Bharatiya Janta Party,
3,3,Sanjay Kumar Mirdha,102,"4,777",2.6%,Independent,
4,4,Sada Nand Yadav,93,"2,777",1.5%,Independent,
5,5,Syed Ghulam Hussain,93,"2,669",1.5%,Nationalist Congress Party,
6,6,Ajeet Kumar Mehta,93,"2,318",1.3%,Bahujan Samaj Party,
7,7,Deepak Kumar Chauhan,84,"1,553",0.9%,Independent,
8,8,Shakti Nath Yadav,84,"1,425",0.8%,Independent,
9,9,Bambam Sah,84,"1,122",0.6%,Shiv Sena,
10,10,Afjal Khan Alias Mukhtar,84,546,0.3%,Communist Party Of India (Marxist-Leninist) (Liberation),
11,11,Akhilesh Jha,84,421,0.2%,Independent,
12,12,Akhtar Ali,84,388,0.2%,Maanavvaadi Janta Party,
13,13,Md. Shahid,84,339,0.2%,Sarvajan Kalyan Loktantrik Party,
14,14,Md.  Kasim,84,316,0.2%,Indian Union Muslim League,
15,15,Parmeshwar Lal Bishwas,84,297,0.2%,Lok Dal,
