x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shrawon Kumar,60000,"72,596",44.8%,Janata Dal (United),
2,2,Kaushlendra Kumar,60000,"69,600",42.9%,Bharatiya Janta Party,
3,3,Arunesh Kumar Yadav,200,"3,558",2.2%,Independent,
4,4,Sanjay Kumar,200,"1,678",1.0%,Independent,
5,5,Dilip Kumar,200,"1,583",1.0%,Bahujan Samaj Party,
6,6,Jibindra Kumar Pandey Alias- Shivendra Kumar,200,"1,405",0.9%,Shiv Sena,
7,7,Manmohan Kumar,200,"1,145",0.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Dileep Chaudhary,200,"1,124",0.7%,Jan Adhikar Party (Loktantrik),
9,9,Surendra Kumar,200,"1,068",0.7%,Bharatiya Inqalab Party,
10,10,Shyampati Devi,200,601,0.4%,Maanavvaadi Janta Party,
11,11,Vinod Uganwi,200,476,0.3%,Rastriya Insaaf Party,
12,12,Deo Kumar,200,376,0.2%,Jharkhand Mukti Morcha,
13,13,Partima Devi,200,376,0.2%,Rastriya Sadabahar Party,
