x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Amita Bhushan,3182,"83,521",49.2%,Indian National Congress,
2,2,Surendra Mehta,3182,"66,990",39.5%,Bharatiya Janta Party,
3,3,Rajendra Prasad Singh,93,"5,593",3.3%,Communist Party Of India (MARXIST),
4,4,Dileep Kesari,72,"1,815",1.1%,Samajwadi Party,
5,5,Rajesh Kumar,72,"1,252",0.7%,Independent,
6,6,Amarjeet Sah,72,"1,250",0.7%,Independent,
7,7,Amit Kumar,72,"1,130",0.7%,Independent,
8,8,Bipin Kumar Paswan,72,996,0.6%,Bahujan Samaj Party,
9,9,Shyam Poddar,72,872,0.5%,Bahujan Mukti Party,
10,10,Ajit Kumar,72,682,0.4%,Independent,
11,11,Bindeshwari Sharma,72,517,0.3%,Rastriya Insaaf Party,
12,12,Pinki Sinha,72,430,0.3%,Jammu & Kashmir National Panthers Party,
