x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Lalan Paswan,6679,"68,148",45.1%,Rashtriya Lok Samta Party,
2,2,Mangal Ram,6679,"58,367",38.6%,Indian National Congress,
3,3,Ramendra Ram,101,"5,455",3.6%,Bahujan Samaj Party,
4,4,Aman Kumar,86,"2,589",1.7%,Independent,
5,5,Ravi Paswan,78,"1,752",1.2%,Samajwadi Party,
6,6,Mahendra Baitha,78,"1,369",0.9%,Independent,
7,7,Chinta Devi,78,"1,240",0.8%,Rashtra Sewa Dal,
8,8,Bipin Ram,78,854,0.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
9,9,Satyanarayan Paswan,78,804,0.5%,Apna Dal,
10,10,Ramashish Ram,78,659,0.4%,Shoshit Samaj Dal,
11,11,Ravishankar Prasad,78,533,0.4%,Janvadi Party(Socialist),
12,12,Pradeep Kumar,78,421,0.3%,Bahujan Mukti Party,
