x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vinod Prasad Yadav,21400,"44,579",30.1%,Janata Dal (United),
2,2,Mukesh Kumar Yadav,21400,"39,745",26.8%,Hindustani Awam Morcha (Secular),
3,3,Manju Agrawal,2400,"29,671",20.0%,Independent,
4,4,Md.Raza Khan,200,"5,014",3.4%,Independent,
5,5,Akhilesh Kumar,200,"4,113",2.8%,Jharkhand Mukti Morcha,
6,6,Mukesh Kumar,200,"3,531",2.4%,Independent,
7,7,Dinesh Kumar Dinbandhu,200,"2,997",2.0%,Bahujan Samaj Party,
8,8,Mohammad Shahid Alam,200,"2,852",1.9%,Nationalist Congress Party,
9,9,Shila Kumari,200,"2,673",1.8%,Communist Party Of India (Marxist-Leninist) (Liberation),
10,10,Badhan Bhuiyan,200,"2,472",1.7%,Independent,
11,11,Raghu Nandan Prasad,200,"2,141",1.5%,Shiv Sena,
12,12,Sukhdeo Yadav,200,"1,801",1.2%,Pragatisheel Magahi Samaj,
