x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Amar Nath Gami,400,"65,677",53.3%,Janata Dal (United),
2,2,Ramesh Choudhary,400,"32,446",26.3%,Lok Jan Shakti Party,
3,3,Ram Shankar Choudhary,200,"4,084",3.3%,Shiv Sena,
4,4,Sumitra Paswan,200,"3,669",3.0%,Independent,
5,5,Hem Chandra Singh,200,"1,862",1.5%,Independent,
6,6,Basant Kumar Mandal,200,"1,731",1.4%,Independent,
7,7,Puran Paswan,200,"1,179",1.0%,Bahujan Samaj Party,
8,8,Thithar Kumar Prajapty,200,923,0.8%,Lokpriya Samaj Party,
9,9,Satya Narayan Mukhia,200,837,0.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
10,10,Md. Arshad,200,836,0.7%,Independent,
11,11,Babu Saheb Mandal,200,595,0.5%,Independent,
12,12,Binod Kumar Pankaj,200,556,0.5%,Samajwadi Party,
13,13,Jahana Khatun,200,517,0.4%,Independent,
14,14,Ramsakha Paswan,200,424,0.3%,National Janta Party (Indian),
