x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Harishankar Yadav,5600,"61,042",42.0%,Rashtriya Janata Dal,
2,2,Manoj Kumar Singh,5600,"50,420",34.7%,Bharatiya Janta Party,
3,3,Amarnath Yadav,400,"16,714",11.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Rajesh Kumar Tiwari,200,"2,744",1.9%,Independent,
5,5,Vishwakarma Bhagat,200,"2,191",1.5%,Independent,
6,6,Parwar Alam,200,"1,881",1.3%,Bahujan Samaj Party,
7,7,Prem Sagar Pandey,200,"1,799",1.2%,Independent,
8,8,Md. Chand,200,"1,656",1.1%,Samajwadi Party,
9,9,Arif Jamal,200,820,0.6%,National Janta Party (Indian),
10,10,Pawan Singh,200,743,0.5%,Independent,
11,11,Mahesh Singh,200,723,0.5%,Hind Congress Party,
12,12,Aon Ali,200,453,0.3%,Garib Janta Dal (Secular),
