x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vijay Kumar Sinha,22600,"75,901",40.8%,Bharatiya Janta Party,
2,2,Ramanand Mandal,22600,"69,345",37.3%,Janata Dal (United),
3,3,Ram Pukar Mandal,200,"11,551",6.2%,Shiv Sena,
4,4,Sujeet Kumar,200,"8,112",4.4%,Independent,
5,5,Moti Saw,200,"4,536",2.4%,Communist Party Of India (MARXIST),
6,6,Ramashish Kumar,200,"3,034",1.6%,Samajwadi Party,
7,7,Renu Devi,200,"2,689",1.5%,Independent,
8,8,Manoj Kumar,200,"2,052",1.1%,Bahujan Samaj Party,
9,9,Ranjeet Ram,200,"1,906",1.0%,Aam Janata Party,
10,10,Ashish Amar,200,"1,544",0.8%,Bahujan Mukti Party,
11,11,Ravikar Kumar,200,"1,004",0.5%,Lok Dal,
