x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Anand Bhushan Pandey,10166,"50,768",34.6%,Bharatiya Janta Party,
2,2,Doctor Pramod Kumar Singh,10166,"43,024",29.3%,Janata Dal (United),
3,3,Bharat Bind,1290,"29,983",20.4%,Bahujan Samaj Party,
4,4,Sanjay Kumar Sinha,170,"4,857",3.3%,Shiv Sena,
5,5,Vikash Singh,153,"3,192",2.2%,Independent,
6,6,Jagmohan Pal,142,"2,276",1.6%,Independent,
7,7,Nitu Singh Yadav,130,"1,991",1.4%,Samajwadi Party,
8,8,Balram Chaubey,130,"1,896",1.3%,Communist Party Of India,
9,9,Ujjwal Kumar Chaubey,130,"1,253",0.9%,Independent,
10,10,Poonam Singh Kushwaha,119,"1,052",0.7%,Bahujan Mukti Party,
11,11,Ramchandra  Vind,119,934,0.6%,Sarvajan Kalyan Loktantrik Party,
12,12,Akshaibar Singh,119,897,0.6%,Independent,
13,13,Ranjit Kumar,119,869,0.6%,Independent,
14,14,Amar Nath Gupta,119,828,0.6%,Bhartiya Lokmat Rashtrwadi Party,
15,15,Ram Dular Chaudhari,119,622,0.4%,Independent,
16,16,Saravjeet Singh,119,502,0.3%,Independent,
17,17,Ram Badan Pathak,119,338,0.2%,Jawan Kisan Morcha,
18,18,Manoj Kumar Singh,119,287,0.2%,Aam Janata Party,
19,19,Rajeev Ranjan Kumar,119,284,0.2%,Naya Daur Party,
20,20,Manoj Kumar Gupta,119,264,0.2%,National Janta Party (Indian),
