x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Janardan Manjhi,5046,"73,707",47.9%,Janata Dal (United),
2,2,Mrinal Shekhar,5046,"61,934",40.2%,Bharatiya Janta Party,
3,3,Surendra Prasad Singh,82,"2,864",1.9%,Independent,
4,4,Suryadeo Singh,82,"2,134",1.4%,Independent,
5,5,Ajay Harijan,74,"1,314",0.9%,Bhartiya Dalit Party,
6,6,Amit Kumar Shekhar,72,"1,082",0.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
7,7,Shashi Shekhar,72,788,0.5%,Independent,
8,8,Anil Kumar Singh,72,739,0.5%,Loktantrik Samata Dal,
9,9,Manoj Kumar Azad,72,619,0.4%,Independent,
10,10,Sadhana Kumari,72,546,0.4%,Independent,
11,11,Ranjeet Sharma,72,481,0.3%,Independent,
12,12,Pravin Kumar,72,314,0.2%,Independent,
13,13,Kumari Shyama Pandey,72,308,0.2%,Garib Janta Dal (Secular),
14,14,Mithilesh Kumar Singh,72,277,0.2%,Samras Samaj Party,
