x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Manohar Prasad Singh,4200,"61,704",38.7%,Indian National Congress,
2,2,Anil Kumar Oraon,4200,"48,024",30.1%,Lok Jan Shakti Party,
3,3,Gita Kisku,200,"7,009",4.4%,Nationalist Congress Party,
4,4,Nagendra Chandra Mandal,200,"6,134",3.9%,Shiv Sena,
5,5,Shambhu Kumar Suman,200,"6,123",3.8%,Independent,
6,6,Champay Kisku,200,"5,723",3.6%,Independent,
7,7,Anirudh Prasad Singh,200,"5,129",3.2%,Communist Party Of India,
8,8,Braj Lal Soren,200,"2,976",1.9%,Independent,
9,9,Lila Madi,200,"1,972",1.2%,Jan Adhikar Party (Loktantrik),
10,10,Abhilashita Uraon,200,"1,881",1.2%,Bahujan Samaj Party,
11,11,Nirma Devi,200,"1,873",1.2%,Independent,
12,12,Prabhulal Uraon,200,"1,817",1.1%,Social Democratic Party Of India,
13,13,Fulmani Hembram,200,"1,779",1.1%,Jharkhand Mukti Morcha,
14,14,Sinkendra Mandal,200,"1,423",0.9%,Independent,
15,15,Chhote Lal Chourae,200,"1,401",0.9%,Rashtra Sewa Dal,
16,16,Shiv Kumar Sah,200,"1,327",0.8%,Independent,
17,17,Dilip Kumar Mandal,200,980,0.6%,Independent,
18,18,Tallu Hembram,200,957,0.6%,Bahujan Mukti Party,
