x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Atri Muni Urph Shakti Singh Yadav,1000,"72,347",48.4%,Rashtriya Janata Dal,
2,2,Deepika Kumari,1000,"46,271",31.0%,Lok Jan Shakti Party,
3,3,Shyam Narayan Prasad,200,"5,415",3.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Sudhir Kumar,200,"5,263",3.5%,Independent,
5,5,Rajeev Ranjan Kumar Urph- J.p. Chandravanshi,200,"3,796",2.5%,Independent,
6,6,Santosh Kumar,200,"3,176",2.1%,Independent,
7,7,Nilam Sinha,200,"1,961",1.3%,Jan Adhikar Party (Loktantrik),
8,8,Niraj Sharma,200,"1,807",1.2%,Bahujan Samaj Party,
9,9,Pankaj Roy,200,"1,624",1.1%,Shiv Sena,
10,10,Umesh Rabidas,200,964,0.6%,Independent,
11,11,Dularchanad Prasad,200,856,0.6%,Independent,
12,12,Rakesh Kumar,200,747,0.5%,Bharatiya Momin Front,
13,13,Om Prakash Mochi,200,525,0.4%,Sankhyanupati Bhagidari Party,
14,14,Sohawan Paswan,200,524,0.4%,National Janta Party (Indian),
15,15,Rajkumar Kewat,200,413,0.3%,Sarvajan Kalyan Loktantrik Party,
16,16,Ramashray Singh,200,399,0.3%,Samajwadi Party,
