x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dinkar Ram,1660,"74,763",49.1%,Bharatiya Janta Party,
2,2,Surendra Ram,1660,"54,597",35.9%,Indian National Congress,
3,3,Deeplal Paswan Baghela,87,"4,318",2.8%,Independent,
4,4,Subodh Ram,79,"3,099",2.0%,Rashtravadi Janata Party,
5,5,Manoj Ram,79,"2,273",1.5%,Bahujan Samaj Party,
6,6,Sadhu Sharan Das,79,"2,151",1.4%,Independent,
7,7,Indal Paswan,71,"1,763",1.2%,Bahujan Mukti Party,
8,8,Ramchandra Paswan,71,"1,131",0.7%,Samajwadi Party,
9,9,Bhola Ram,71,877,0.6%,Sarvajan Kalyan Loktantrik Party,
10,10,Umesh Ram,71,783,0.5%,National Janta Party (Indian),
11,11,Raghvendra Kumar,71,778,0.5%,Rashtriya Mahan Gantantra Party,
12,12,Kapil Deo Paswan,71,672,0.4%,Janta Dal Rashtravadi,
