x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Purnima Yadav,23000,"43,016",30.6%,Indian National Congress,
2,2,Fula Devi,23000,"38,617",27.5%,Bharatiya Janta Party,
3,3,Md Kamran,4400,"32,646",23.2%,Independent,
4,4,Sarwan Kumar,400,"8,469",6.0%,Independent,
5,5,Ramchandra Rajwar,200,"4,280",3.0%,Independent,
6,6,Satendra Mochi,200,"2,093",1.5%,Independent,
7,7,Mokim Uddin,200,"1,633",1.2%,Bahujan Samaj Party,
8,8,Ram Krishna Mahto,200,"1,614",1.2%,Communist Party Of India,
9,9,Shankar Prasad,200,"1,480",1.1%,Independent,
10,10,Vijay Ram,200,"1,400",1.0%,Moolniwasi Samaj Party,
