x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Neeraj Kumar,4200,"71,175",43.1%,Rashtriya Janata Dal,
2,2,Bibhash Chandra Choudhary,4200,"56,839",34.5%,Bharatiya Janta Party,
3,3,Muhammad Shakur,200,"11,002",6.7%,Nationalist Congress Party,
4,4,Kailash Sahani,200,"8,484",5.1%,Independent,
5,5,Muhammad Israil,200,"3,597",2.2%,Independent,
6,6,Dinesh Prasad Yadav,200,"2,406",1.5%,Communist Party Of India,
7,7,Yugal Kishor Sah,200,"2,078",1.3%,Independent,
8,8,Subhash Singh,200,"1,419",0.9%,Janta Dal Rashtravadi,
9,9,Prem Nath Jaiswal,200,"1,371",0.8%,Independent,
10,10,Gokul Yadav,200,"1,020",0.6%,Independent,
11,11,Arun Kumar,200,810,0.5%,Mithilanchal Vikas Morcha,
12,12,Lakshmi Kant Mandal,200,794,0.5%,Bahujan Samaj Party,
13,13,Pradip K. Yadav,200,606,0.4%,Garib Janta Dal (Secular),
14,14,Ramchandra Singh Nishad,200,550,0.3%,Bahujan Mukti Party,
15,15,Jahangir,200,503,0.3%,Indian Union Muslim League,
