x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sadanand Singh,1819,"64,981",36.7%,Indian National Congress,
2,2,Niraj Kumar Mandal,1819,"43,752",24.7%,Lok Jan Shakti Party,
3,3,Pawan Kumar Yadav,476,"26,510",15.0%,Independent,
4,4,Najani Naj,170,"9,093",5.1%,Independent,
5,5,Sanjit Suman,156,"7,339",4.1%,Communist Party Of India,
6,6,Deepak Kumar,125,"3,409",1.9%,Independent,
7,7,Sanjiv Kumar,125,"3,282",1.9%,Communist Party Of India (MARXIST),
8,8,Pradeep Kumar,125,"3,266",1.8%,Sarvajan Kalyan Loktantrik Party,
9,9,Suman Kumar Singh,117,"2,757",1.6%,Independent,
10,10,Binod Pandey,117,"2,748",1.6%,Independent,
11,11,Vindishwri Sharma,117,"1,853",1.1%,National Tiger Party,
12,12,Manoj Kumar Yadav,117,"1,726",1.0%,Bahujan Samaj Party,
13,13,Shobha Kant Mandal,104,"1,067",0.6%,Samajwadi Party,
