x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Faraz Fatmi,10400,"68,601",47.1%,Rashtriya Janata Dal,
2,2,Ashok Kumar Yadav,10400,"60,771",41.8%,Bharatiya Janta Party,
3,3,Ram Chandra Sah,200,"2,176",1.5%,Communist Party Of India,
4,4,Md. Faiyaz Khan,200,"2,001",1.4%,The National Road Map Party Of India,
5,5,Chand Babu Rehman,200,"1,649",1.1%,Nationalist Congress Party,
6,6,Vijay Kumar,200,"1,587",1.1%,Independent,
7,7,Prasoon Pankaj,200,"1,281",0.9%,Bahujan Samaj Party,
8,8,Ram Vriksh Paswan,200,"1,028",0.7%,Independent,
9,9,Meera Kumari Jha,200,890,0.6%,Rashtriya Jankranti Party,
10,10,Abdesh Kamti,200,602,0.4%,Akhil Bhartiya Mithila Party,
11,11,Dinesh Kumar Das,200,529,0.4%,National Janta Party (Indian),
12,12,Ashok Kumar Jha,200,463,0.3%,Sarvajan Kalyan Loktantrik Party,
13,13,Kusheshwar Mahto,200,436,0.3%,Samajwadi Party,
