x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vijender Garg Vijay,913,"61,354",53.4%,Aam Aadmi Party,
2,2,R. P. Singh,913,"41,303",35.9%,Bharatiya Janta Party,
3,3,Brahm Yadav,97,"8,971",7.8%,Indian National Congress,
4,4,Prem Singh,60,"1,467",1.3%,Bahujan Samaj Party,
5,5,Shabbir Khan,60,412,0.4%,Independent,
6,6,Swadesh Ohri,60,278,0.2%,Atulya Bharat Party,
7,7,Sunil Kumar,60,232,0.2%,Naya Daur Party,
8,8,Sarita Kumari,60,226,0.2%,Independent,
9,9,Aslam Parvez Khan,60,97,0.1%,Independent,
10,10,Sarfuddin Alam,60,95,0.1%,Independent,
