x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rajesh Gupta,800,"61,208",54.9%,Aam Aadmi Party,
2,2,Dr. Mahander Nagpal,800,"39,164",35.1%,Bharatiya Janta Party,
3,3,Hari Shankar Gupta,200,"8,371",7.5%,Indian National Congress,
4,4,Ram Dhani,200,"1,185",1.1%,Bahujan Samaj Party,
5,5,Rajesh Kumar,200,547,0.5%,Independent,
6,6,H.D. Ansari,200,231,0.2%,Independent,
7,7,Ajay Kumar Singh,200,183,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),
8,8,Sunil Kumar,200,70,0.1%,Asankhya Samaj Party,
9,9,Munshi Lal Prajapati,200,62,0.1%,Lokpriya Samaj Party,
10,10,Indarjeet Yadav,200,53,0.1%,Samras Samaj Party,
11,11,Ramesh Chandra,200,43,0.0%,Prajatantrik Samajvadi Party,
