x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Asim Ahmed Khan,400,"47,584",59.2%,Aam Aadmi Party,
2,2,Shoaib Iqbal,400,"21,488",26.8%,Indian National Congress,
3,3,Shakeel Anjum,200,"9,105",11.3%,Bharatiya Janta Party,
4,4,Mohd Sami,200,430,0.5%,Independent,
5,5,Ravi Anand,200,396,0.5%,Bahujan Samaj Party,
6,6,Umar Farooq,200,215,0.3%,Independent,
7,7,Mohd Shafi,200,164,0.2%,Bahujan Mukti Party,
8,8,Shoaib Ahmed,200,161,0.2%,Independent,
9,9,Imran Husain,200,131,0.2%,Indian Union Muslim League,
10,10,Mohd Shahzaman Sultan,200,122,0.2%,Independent,
11,11,Mohammad Ahmed Saifi,200,91,0.1%,Independent,
12,12,Mehfuz Khan,200,90,0.1%,J & K National Panthers Party,
13,13,Chaman Parkash Sunil,200,45,0.1%,Garib Raj Party,
14,14,Shueb Ahmed Khan,200,43,0.1%,Independent,
15,15,Prem Nath,200,29,0.0%,Independent,
16,16,Moazam Khan,200,19,0.0%,Hind Congress Party,
17,17,Tariq Mirza,200,19,0.0%,Republican Party Of India (A),
