x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sukhvir Singh,600,"94,206",57.2%,Aam Aadmi Party,
2,2,Azad Singh,600,"53,380",32.4%,Bharatiya Janta Party,
3,3,Reeta,200,"13,446",8.2%,Indian National Congress,
4,4,Om Prakash,200,778,0.5%,Bahujan Samaj Party,
5,5,Ravi Swaroop,200,550,0.3%,Rashtriya Bahujan Hitay Party,
6,6,Udey Vir,200,361,0.2%,Samras Samaj Party,
7,7,Virender Singh,200,341,0.2%,Independent,
8,8,Rambali Shah,200,240,0.2%,Independent,
9,9,Anil Kumar,200,179,0.1%,Independent,
10,10,Vijay Kumar Garg,200,157,0.1%,Delhi Janta Party,
11,11,Jasmer Singh,200,117,0.1%,Gareeb Aadmi Party,
12,12,Raj Kumar Parihar,200,110,0.1%,Nationalist Congress Party,
13,13,Laxmi,200,78,0.1%,Republican Party Of India,
14,14,Karam Chand Lathwal,200,61,0.0%,Bhartiya Pragatisheel Congress,
15,15,Rakesh Sharma,200,52,0.0%,All India Forward Bloc,
