x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,S K Bagga  Advocate,64400,"65,919",48.0%,Aam Aadmi Party,
2,2,Kiran Bedi,64400,"63,642",46.3%,Bharatiya Janta Party,
3,3,Bansi Lal,200,"6,189",4.5%,Indian National Congress,
4,4,Yogesh Kumar,200,501,0.4%,Bahujan Samaj Party,
5,5,Chandan Lal Premi,200,339,0.3%,Communist Party Of India,
6,6,Purnima John,200,169,0.1%,Samyak Parivartan Party,
7,7,Virendr Pradhan,200,90,0.1%,Independent,
8,8,Sahrur,200,73,0.1%,Hind Congress Party,
9,9,Advocate Manjeet Singh,200,53,0.0%,Independent,
10,10,Jagbir Singh,200,32,0.0%,Rajlok Party,
