x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Nikhil Kumar Choudhary,571600,"288,922",41.0%,Bharatiya Janta Party, AC View
2,2,Shah Tariq Anwar,571600,"286,357",40.7%,Nationalist Congress Party, AC View
3,3,Mubarak Hussain,200,"37,584",5.3%,Samajwadi Party, AC View
4,4,Radha Uraon,200,"23,602",3.4%,Jharkhand Disom Party, AC View
5,5,Quddus Ali,200,"19,569",2.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Shiv Nandan Mandal,200,"14,663",2.1%,Bahujan Samaj Party, AC View
7,7,Sovran Rajak,200,"13,780",2.0%,Independent, AC View
8,8,Pradeep Kumar Sharma,200,"5,265",0.7%,Independent, AC View
9,9,Sushil Kumar Paswan,200,"3,594",0.5%,Independent, AC View
10,10,Prem Kumar,200,"3,540",0.5%,Shiv Sena, AC View
11,11,Binod Kumar Thakur,200,"1,997",0.3%,Independent, AC View
12,12,Sunil Kumar Choudhary,200,"1,905",0.3%,Independent, AC View
13,13,Pradeep Kumar Sah,200,"1,851",0.3%,Independent, AC View
14,14,Mahmad Iqbal Qureshi,200,"1,820",0.3%,Independent, AC View
