x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,D. B. Patil,37567,"361,282",45.2%,Bharatiya Janta Party, AC View
2,2,Khatgaonkar Patil  Bhaskarrao Bapurao,37567,"336,947",42.2%,Indian National Congress, AC View
3,3,Gaikwad Suresh Dnyanoba,138,"42,307",5.3%,Bharipa Bahujan Mahasangh, AC View
4,4,Shaikh (TAMBOLI) WAHIDA MAHEBOOBPASHA,113,"23,832",3.0%,Bahujan Samaj Party, AC View
5,5,Yadav Manohar Sahebrao,98,"13,009",1.6%,Independent, AC View
6,6,Borgaonkar Nivruti Vithalrao,89,"4,120",0.5%,Independent, AC View
7,7,(NAIK) DEVKATTE VENKATRAO NARSINGRAO,87,"3,663",0.5%,Rashtriya Samaj Paksha, AC View
8,8,Altaf Ahmed Saani Sk. Amir,87,"3,304",0.4%,Lok Rajya Party, AC View
9,9,"""aids Man"" Prakash Taterao Landge",87,"2,787",0.3%,Independent, AC View
10,10,Narayan Satvaji Sureshi,87,"2,434",0.3%,Independent, AC View
11,11,Adv. C. S. Baheti,87,"2,373",0.3%,Jharkhand Party, AC View
12,12,Adv. Deelip Prabhakarrao Kulkarni (PHULVALKAR),87,"2,310",0.3%,Independent, AC View
13,13,Jadhav Vishnu Maroti,87,"1,777",0.2%,Independent, AC View
