x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Tarachand Sahu,5277,"382,757",50.3%,Bharatiya Janta Party, AC View
2,2,Bhupesh Baghel,5277,"321,289",42.2%,Indian National Congress, AC View
3,3,Shri Mataji,92,"17,935",2.4%,Bahujan Samaj Party, AC View
4,4,Manharan Singh Chhedaiha,92,"17,928",2.4%,Independent, AC View
5,5,Bharat Bhushan Pandey,76,"8,078",1.1%,Independent, AC View
6,6,Balvinder Singh,76,"3,462",0.5%,Independent, AC View
7,7,R. D. Jogansh,76,"2,209",0.3%,Independent, AC View
8,8,Kiran Noni Urf Kiran Beti,76,"2,185",0.3%,Indian Justice Party, AC View
9,9,Shiekh Rasool Alias Dada Bhai,76,"2,155",0.3%,Samajwadi Party, AC View
10,10,Ashok Kumar Rajput,76,"1,988",0.3%,Independent, AC View
11,11,Arun Joshi,76,"1,829",0.2%,Independent, AC View
