x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ramakant Yadav,246800,"258,216",36.3%,Bahujan Samaj Party, AC View
2,2,Durga Prasad Yadav,246800,"251,248",35.3%,Samajwadi Party, AC View
3,3,Ram Naresh Yadav,600,"97,185",13.7%,Indian National Congress, AC View
4,4,Dr. Krishan Mohan Tripathi,400,"40,536",5.7%,Suheldev Bhartiya Samaj Party, AC View
5,5,Shah Mohammad,200,"34,735",4.9%,Bharatiya Janta Party, AC View
6,6,Ram Nayan,200,"10,102",1.4%,Independent, AC View
7,7,Ram Kishun Nishad,200,"4,180",0.6%,Independent, AC View
8,8,Ramtajee Rajbhar,200,"3,492",0.5%,Independent, AC View
9,9,Rajpati Vishwakarma,200,"3,438",0.5%,Apna Dal, AC View
10,10,Ram Jatan Ram,200,"2,720",0.4%,Independent, AC View
11,11,Vasdev Maurya,200,"2,463",0.3%,Rashtriya Samanta Dal, AC View
12,12,Sadre Alam Azmi,200,"1,666",0.2%,Rashtriya Swabhimaan Party, AC View
13,13,Dan Bahadur Yadav,200,"1,449",0.2%,Independent, AC View
