x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sitaram Yadav,1612,"326,165",47.2%,Rashtriya Janata Dal, AC View
2,2,Naval Kishore Rai,1612,"228,160",33.0%,Janata Dal (United), AC View
3,3,Rajni Ranjan Sahu,212,"87,289",12.6%,Samajwadi Party, AC View
4,4,Nawal Kishor Sahi,92,"11,411",1.7%,Samata Party, AC View
5,5,Najmujjama,92,"10,665",1.5%,Bahujan Samaj Party, AC View
6,6,Sitaram Rai,83,"7,326",1.1%,Independent, AC View
7,7,Sone Lal Sah,83,"6,251",0.9%,Independent, AC View
8,8,Mohammad Sagir,83,"3,313",0.5%,Independent, AC View
9,9,Awadh Kishore Yadav,83,"3,029",0.4%,Independent, AC View
10,10,Ramashraya Rai,83,"2,352",0.3%,Independent, AC View
11,11,Kamla Kant Mishra,83,"1,745",0.3%,Independent, AC View
12,12,Uttam Lal Das,83,"1,649",0.2%,Independent, AC View
13,13,Ratneshwar Mishra,83,"1,496",0.2%,Independent, AC View
