x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sumitra Mahajan (TAI),800,"508,107",59.5%,Bharatiya Janta Party, AC View
2,2,Rameshwar Patel,800,"314,171",36.8%,Indian National Congress, AC View
3,3,Kailashchander Kanwarlal Sahu,200,"10,331",1.2%,Bahujan Samaj Party, AC View
4,4,Raju Soni,200,"5,635",0.7%,Independent, AC View
5,5,Ajit Kumar Jain ( PATWA),200,"4,453",0.5%,Independent, AC View
6,6,Rajendra Yadav ( ADVOCATE),200,"4,142",0.5%,Samajwadi Party, AC View
7,7,Parmanand Tolani,200,"2,211",0.3%,Independent, AC View
8,8,Nandkishor Agrawal,200,"2,075",0.2%,Independent, AC View
9,9,Moolchand Rathore,200,"1,933",0.2%,Independent, AC View
10,10,Ghanshyam Chandel,200,"1,445",0.2%,Independent, AC View
